ELRC-1179-EUIPO_2017	v1	16286	13/11709	.11
ELRC-2016-EUIPO_2017	v1	16875	13/11709	.11
ELRC-2036-www.vero.fi	v1	21302	13/11709	.11
ELRC-2875-EU_publications_medi	v1	13192	13/11709	.11
ELRC-3203-antibiotic	v1	654	13/11709	.11
ELRC-3853-State_Assets	v1	2822	13/11709	.11
ELRC-394-Danish_Higher_Educat	v1	3049	13/11709	.11
ELRC-412-EJTN_Handbook	v1	1818	13/11709	.11
ELRC-494-forbrukereuropa.no	v1	14185	13/11709	.11
ELRC-5124-Government_Ireland_P	v1	613	13/11709	.11
ELRC-5180-Official_Parliament_	v1	116083	13/11709	.11
ELRC-559-www.npd.no	v1	18283	13/11709	.11
ELRC-664-administration	v1	11228	13/11709	.11
ELRC-734-www.norden.org	v1	37799	13/11709	.11
infopankki	v1	21778	13/11709	.11
Tatoeba	v2022-03-03	1605560	13/11709	.11
Books	v1	235021	12/11709	.10
ELRA-W0187	v1	1818	12/11709	.10
ELRC-1992-Rural_Development_Pr	v1	4274	12/11709	.10
ELRC-2017-EUIPO_2017	v1	16806	12/11709	.10
ELRC-2018-EUIPO_2017	v1	17452	12/11709	.10
ELRC-2021-EUIPO_2017	v1	17144	12/11709	.10
ELRC-2022-EUIPO_2017	v1	17267	12/11709	.10
ELRC-2024-EUIPO_2017	v1	17249	12/11709	.10
ELRC-2025-EUIPO_2017	v1	17119	12/11709	.10
ELRC-2543-Inteliterm	v1	15569	12/11709	.10
ELRC-2559-government_websites_	v1	1132	12/11709	.10
ELRC-2869-EU_publications_medi	v1	12873	12/11709	.10
ELRC-2876-EU_publications_medi	v1	12841	12/11709	.10
ELRC-2878-EU_publications_medi	v1	12485	12/11709	.10
ELRC-2880-EU_publications_medi	v1	12872	12/11709	.10
ELRC-2884-EU_publications_medi	v1	12960	12/11709	.10
ELRC-2886-EU_publications_medi	v1	13143	12/11709	.10
ELRC-3193-antibiotic	v1	1031	12/11709	.10
ELRC-439-Danish_Higher_Educat	v1	3646	12/11709	.10
ELRC-486-Procurement_1	v1	1818	12/11709	.10
ELRC-590-www.lrs.lt	v1	1661	12/11709	.10
ELRC-728-www.norden.org	v1	41141	12/11709	.10
ELRC-730-www.norden.org	v1	36524	12/11709	.10
ELRC-Rural_Development	v1	9133	12/11709	.10
Tatoeba	v20190709	1212697	12/11709	.10
Tatoeba	v2020-05-31	1346260	12/11709	.10
Tatoeba	v2020-11-09	1406533	12/11709	.10
Tatoeba	v2021-03-10	1470935	12/11709	.10
Tatoeba	v2021-07-22	1497594	12/11709	.10
ELRA-W0131	v1	13492	11/11709	.09
ELRA-W0133	v1	2386	11/11709	.09
ELRA-W0185	v1	1990	11/11709	.09
ELRA-W0203	v1	12527	11/11709	.09
ELRA-W0262	v1	1285	11/11709	.09
ELRC-1015-Croatian_Mine_Action	v1	13492	11/11709	.09
ELRC-1055-ICT_Transport	v1	2386	11/11709	.09
ELRC-2012-EUIPO_2017	v1	15922	11/11709	.09
ELRC-2015-EUIPO_2017	v1	16447	11/11709	.09
